geo,Municipio,Cultivo,Año,Rendimiento (t/ha)
15681,SAN PABLO DE BORBUR,Cafe,2016,115
15442,MARIPI,Cafe,2016,9
15106,BRICEÑO,Cafe,2016,82
15212,COPER,Cafe,2016,89
15660,SAN EDUARDO,Cafe,2016,11
15507,OTANCHE,Cafe,2016,95
15135,CAMPOHERMOSO,Cafe,2016,95
15550,PISBA,Cafe,2016,8
15580,QUIPAMA,Cafe,2016,101
15299,GARAGOA,Cafe,2016,92
15832,TUNUNGUA,Cafe,2016,84
15511,PACHAVITA,Cafe,2016,79
15401,LA VICTORIA,Cafe,2016,95
15621,RONDON,Cafe,2016,124
15425,MACANAL,Cafe,2016,97
15377,LABRANZAGRANDE,Cafe,2016,82
15480,MUZO,Cafe,2016,98
15022,ALMEIDA,Cafe,2016,9
15172,CHINAVITA,Cafe,2016,83
15322,GUATEQUE,Cafe,2016,107
15761,SOMONDOCO,Cafe,2016,63
15533,PAYA,Cafe,2016,59
15518,PAJARITO,Cafe,2016,95
15667,SAN LUIS DE GACENO,Cafe,2016,46
15690,SANTA MARIA,Cafe,2016,85
15469,MONIQUIRA,Cafe,2017,84
15897,ZETAQUIRA,Cafe,2017,84
15455,MIRAFLORES,Cafe,2017,66
15664,SAN JOSE DE PARE,Cafe,2017,84
15816,TOGUI,Cafe,2017,84
15686,SANTANA,Cafe,2017,84
15090,BERBEO,Cafe,2017,84
15185,CHITARAQUE,Cafe,2017,84
15531,PAUNA,Cafe,2017,66
15109,BUENAVISTA,Cafe,2017,95
15681,SAN PABLO DE BORBUR,Cafe,2017,66
15514,PAEZ,Cafe,2017,91
15442,MARIPI,Cafe,2017,67
15325,GUAYATA,Cafe,2017,69
15660,SAN EDUARDO,Cafe,2017,93
15212,COPER,Cafe,2017,67
15106,BRICEÑO,Cafe,2017,66
15135,CAMPOHERMOSO,Cafe,2017,75
15507,OTANCHE,Cafe,2017,76
15580,QUIPAMA,Cafe,2017,66
15550,PISBA,Cafe,2017,67
15299,GARAGOA,Cafe,2017,67
15621,RONDON,Cafe,2017,101
