geo,Municipio,Año,Trimestre,Índice
15187,CHIVATA,2022,2,2.829867
15646,SAMACA,2022,1,5.854813
15276,FLORESTA,2022,4,4.818209
15806,TIBASOSA,2022,2,10.773922
15522,PANQUEBA,2021,2,0.624645
15097,BOAVITA,2020,3,1.247601
15380,LA CAPILLA,2022,2,0.321888
15185,CHITARAQUE,2021,3,0.447168
15425,MACANAL,2021,3,0.385802
15757,SOCHA,2022,3,6.952450
15822,TOTA,2020,3,0.600263
15001,TUNJA,2021,4,27.313197
15172,CHINAVITA,2021,3,0.880121
15820,TOPAGA,2020,4,1.457097
15808,TINJACA,2020,3,2.955956
15720,SATIVANORTE,2020,2,1.023587
15104,BOYACA,2021,3,1.191602
15332,GsICAN,2021,1,0.477056
15646,SAMACA,2020,2,3.367766
15092,BETEITIVA,2020,3,0.854701
15455,MIRAFLORES,2020,3,4.392708
15176,CHIQUINQUIRA,2022,2,8.531873
15223,CUBARA,2022,4,1.553889
15114,BUSBANZA,2022,4,4.054054
15114,BUSBANZA,2022,3,3.800676
15500,OICATA,2022,3,4.965012
15664,SAN JOSE DE PARE,2021,1,0.794112
15293,GACHANTIVA,2021,1,1.085054
15248,EL ESPINO,2020,3,0.608195
15109,BUENAVISTA,2021,4,2.813805
15367,JENESANO,2020,3,2.405591
15244,EL COCUY,2020,3,0.652985
15806,TIBASOSA,2020,3,6.839833
15317,GUACAMAYAS,2021,2,0.314630
15466,MONGUI,2022,4,7.914487
15244,EL COCUY,2021,4,2.605863
15317,GUACAMAYAS,2022,1,0.207792
15822,TOTA,2021,1,0.722356
15522,PANQUEBA,2021,1,0.624645
15531,PAUNA,2021,2,1.573521
15755,SOCOTA,2020,4,1.050222
15897,ZETAQUIRA,2020,4,2.045982
15686,SANTANA,2021,3,1.204361
15322,GUATEQUE,2020,4,3.016304
15172,CHINAVITA,2022,1,0.657109
15212,COPER,2021,1,0.350216
15455,MIRAFLORES,2022,1,9.493603
15272,FIRAVITOBA,2020,3,2.631196
15180,CHISCAS,2020,2,0.543747
15638,SACHICA,2022,1,2.958885
15842,UMBITA,2020,4,1.021464
15572,PUERTO BOYACA,2022,3,10.861551
15322,GUATEQUE,2022,2,1.463544
15476,MOTAVITA,2022,3,3.891910
15317,GUACAMAYAS,2022,3,0.259740
15693,SANTA ROSA DE VITERBO,2022,4,2.493495
15172,CHINAVITA,2020,3,1.098901
15180,CHISCAS,2022,4,1.482742
15047,AQUITANIA,2022,2,4.212874
15224,CUCAITA,2020,4,1.351351
15690,SANTA MARIA,2022,4,5.142857
15367,JENESANO,2020,4,3.090982
15226,CUITIVA,2020,4,1.563342
15646,SAMACA,2022,3,3.961517
15753,SOATA,2021,2,8.806941
15248,EL ESPINO,2022,1,0.284270
15764,SORACA,2022,1,3.429116
15135,CAMPOHERMOSO,2021,1,0.689871
15753,SOATA,2022,4,2.732652
15494,NUEVO COLON,2022,3,1.621924
15861,VENTAQUEMADA,2020,2,0.805014
15798,TENZA,2022,1,0.224271
15518,PAJARITO,2021,3,3.411860
15469,MONIQUIRA,2020,4,7.355907
15762,SORA,2020,2,1.256848
15244,EL COCUY,2021,2,2.070731
15104,BOYACA,2022,4,1.647323
15774,SUSACON,2021,2,0.469314
15189,CIENEGA,2021,1,4.811715
15664,SAN JOSE DE PARE,2022,1,2.819873
15842,UMBITA,2021,3,1.914183
15511,PACHAVITA,2021,2,0.435816
15621,RONDON,2022,4,0.240770
15322,GUATEQUE,2020,3,2.653986
15522,PANQUEBA,2020,4,0.741586
15522,PANQUEBA,2021,3,0.567859
