geo,Municipio,Desagregación,Año,Área Cosechada(ha)
15185,Chitaraque,Café,2017,389
15531,Pauna,Café,2017,347
15109,Buenavista,Café,2017,287
15681,San Pablo De Borbur,Café,2017,293
15514,Paez,Café,2017,290
15442,Maripi,Café,2017,242
15325,Guayata,Café,2017,242
15660,San Eduardo,Café,2017,216
15212,Coper,Café,2017,186
15106,Briceño,Café,2017,168
15135,Campohermoso,Café,2017,155
15507,Otanche,Café,2017,181
15580,Quipama,Café,2017,135
15550,Pisba,Café,2017,135
15299,Garagoa,Café,2017,113
15621,Rondon,Café,2017,110
15401,La Victoria,Café,2017,106
15511,Pachavita,Café,2017,101
15425,Macanal,Café,2017,88
15832,Tunungua,Café,2017,75
15480,Muzo,Café,2017,78
15377,Labranzagrande,Café,2017,79
15022,Almeida,Café,2017,69
15172,Chinavita,Café,2017,54
15322,Guateque,Café,2017,52
15761,Somondoco,Café,2017,44
15533,Paya,Café,2017,30
15518,Pajarito,Café,2017,31
15667,San Luis De Gaceno,Café,2017,8
15690,Santa Maria,Café,2017,6
15469,Moniquira,Café,2018,1.356
15897,Zetaquira,Café,2018,1.08
15455,Miraflores,Café,2018,774
15664,San Jose De Pare,Café,2018,690
15816,Togui,Café,2018,548
15686,Santana,Café,2018,484
15090,Berbeo,Café,2018,443
15185,Chitaraque,Café,2018,397
15531,Pauna,Café,2018,325
15514,Paez,Café,2018,305
15681,San Pablo De Borbur,Café,2018,281
15109,Buenavista,Café,2018,262
15325,Guayata,Café,2018,235
15442,Maripi,Café,2018,230
15660,San Eduardo,Café,2018,216
15212,Coper,Café,2018,207
15135,Campohermoso,Café,2018,170
15507,Otanche,Café,2018,183
15106,Briceño,Café,2018,144
15580,Quipama,Café,2018,133
15550,Pisba,Café,2018,135
15299,Garagoa,Café,2018,120
15621,Rondon,Café,2018,114
15401,La Victoria,Café,2018,114
15511,Pachavita,Café,2018,103
15425,Macanal,Café,2018,88
15480,Muzo,Café,2018,77
15377,Labranzagrande,Café,2018,79
15022,Almeida,Café,2018,71
15832,Tunungua,Café,2018,56
15172,Chinavita,Café,2018,56
15322,Guateque,Café,2018,53
15761,Somondoco,Café,2018,44
15533,Paya,Café,2018,35
15518,Pajarito,Café,2018,31
15667,San Luis De Gaceno,Café,2018,8
15690,Santa Maria,Café,2018,6
15442,Maripi,Caña Miel,2007,650
15212,Coper,Caña Miel,2007,410
15469,Moniquira,Caña Miel,2007,320
15022,Almeida,Caña Miel,2007,320
15480,Muzo,Caña Miel,2007,300
15507,Otanche,Caña Miel,2007,200
15109,Buenavista,Caña Miel,2007,198
15533,Paya,Caña Miel,2007,200
15681,San Pablo De Borbur,Caña Miel,2007,180
15106,Briceño,Caña Miel,2007,120
15550,Pisba,Caña Miel,2007,50
15897,Zetaquira,Caña Miel,2007,100
15425,Macanal,Caña Miel,2007,130
15514,Paez,Caña Miel,2007,117
15761,Somondoco,Caña Miel,2007,110
15511,Pachavita,Caña Miel,2007,97
15531,Pauna,Caña Miel,2007,90
15135,Campohermoso,Caña Miel,2007,85
15832,Tunungua,Caña Miel,2007,78
15621,Rondon,Caña Miel,2007,84
15660,San Eduardo,Caña Miel,2007,40
15690,Santa Maria,Caña Miel,2007,70
15580,Quipama,Caña Miel,2007,60
15185,Chitaraque,Caña Miel,2007,56
15401,La Victoria,Caña Miel,2007,49
15804,Tibana,Caña Miel,2007,52
15322,Guateque,Caña Miel,2007,40
15696,Santa Sofia,Caña Miel,2007,45
15325,Guayata,Caña Miel,2007,41
15798,Tenza,Caña Miel,2007,40
15778,Sutatenza,Caña Miel,2007,30
15464,Mongua,Caña Miel,2007,31
15236,Chivor,Caña Miel,2007,34
15518,Pajarito,Caña Miel,2007,30
15299,Garagoa,Caña Miel,2007,22
15172,Chinavita,Caña Miel,2007,20
15753,Soata,Caña Miel,2007,15
15090,Berbeo,Caña Miel,2007,12
15223,Cubara,Caña Miel,2007,5
15757,Socha,Caña Miel,2007,8
15442,Maripi,Caña Miel,2008,645
15212,Coper,Caña Miel,2008,340
15455,Miraflores,Caña Miel,2008,300
15507,Otanche,Caña Miel,2008,300
15109,Buenavista,Caña Miel,2008,258
15480,Muzo,Caña Miel,2008,180
15533,Paya,Caña Miel,2008,200
15022,Almeida,Caña Miel,2008,150
15681,San Pablo De Borbur,Caña Miel,2008,180
15550,Pisba,Caña Miel,2008,140
15425,Macanal,Caña Miel,2008,137
15106,Briceño,Caña Miel,2008,135
15293,Gachantiva,Caña Miel,2008,100
15514,Paez,Caña Miel,2008,118
15511,Pachavita,Caña Miel,2008,100
15761,Somondoco,Caña Miel,2008,110
15690,Santa Maria,Caña Miel,2008,90
15135,Campohermoso,Caña Miel,2008,85
15660,San Eduardo,Caña Miel,2008,72
15322,Guateque,Caña Miel,2008,76
15832,Tunungua,Caña Miel,2008,70
15696,Santa Sofia,Caña Miel,2008,35
15778,Sutatenza,Caña Miel,2008,23
15236,Chivor,Caña Miel,2008,28
15325,Guayata,Caña Miel,2008,37
