geo,Area,Periodo,Valor
15296,Guacamayas,2012,0.769000
15296,El Espino,2014,0.769000
15296,Tópaga,2017,0.769000
15296,Tutaza,2017,0.769000
15296,Guacamayas,2012,0.769200
15296,El Espino,2014,0.769200
15296,Pajarito,2014,0.771000
15296,Pajarito,2014,0.771400
15296,Tipacoque,2013,0.771900
15296,Tipacoque,2013,0.771900
15296,El Cocuy,2012,0.772000
15296,El Cocuy,2012,0.772200
15296,Sora,2014,0.772700
15296,Sora,2014,0.773000
15296,Guayatá,2017,0.773000
15296,Chinavita,2014,0.774000
15296,Jericó,2015,0.774000
15296,Chinavita,2014,0.774200
15296,Macanal,2016,0.775000
15296,Soracá,2016,0.777000
15296,Tununguá,2012,0.777800
15296,Tununguá,2012,0.778000
15296,Mongua,2015,0.779000
15296,Chíquiza,2014,0.780000
15296,Cómbita,2017,0.780000
15296,Chíquiza,2014,0.780500
15296,Turmequé,2016,0.782000
15296,Tenza,2015,0.783000
15296,Cubará,2013,0.784400
15296,Cubará,2013,0.784400
15296,Viracachá,2013,0.785700
15296,Saboyá,2012,0.785700
15296,Viracachá,2013,0.785700
15296,Saboyá,2012,0.786000
15296,Nobsa,2014,0.786000
15296,Sativasur,2015,0.786000
15296,La Victoria,2016,0.786000
15296,Otanche,2016,0.786000
15296,Nobsa,2014,0.786100
15296,Nobsa,2015,0.787000
15296,Sutamarchán,2013,0.788200
15296,Sutamarchán,2013,0.788200
15296,Tununguá,2014,0.789000
15296,Betéitiva,2015,0.789000
15296,San José De Pare,2015,0.789000
15296,Pachavita,2016,0.789000
15296,Firavitoba,2017,0.789000
15296,Tununguá,2014,0.789500
15296,Monguí,2016,0.790000
15296,Floresta,2012,0.790700
15296,Floresta,2012,0.791000
15296,Tota,2015,0.792000
15296,Cucaita,2016,0.792000
15296,Páez,2013,0.792500
15296,Páez,2013,0.792500
15296,Sutatenza,2014,0.793000
15296,Sutatenza,2014,0.793100
15296,Ráquira,2012,0.794000
15296,Ráquira,2012,0.794100
15296,Guateque,2014,0.795000
15296,Guateque,2014,0.795200
15296,Miraflores,2015,0.796000
15296,San Mateo,2013,0.796600
15296,San Mateo,2013,0.796600
15296,Togüí,2016,0.797000
15296,Chíquiza,2017,0.797000
15296,Toca,2014,0.798900
15296,Toca,2014,0.799000
15296,Paz De Río,2012,0.800000
15296,Tipacoque,2012,0.800000
15296,Campohermoso,2013,0.800000
15296,Zetaquira,2013,0.800000
15296,Paz De Río,2012,0.800000
15296,Tipacoque,2012,0.800000
15296,Campohermoso,2013,0.800000
15296,Zetaquira,2013,0.800000
15296,Buenavista,2015,0.800000
15296,Caldas,2015,0.800000
15296,San Luis De Gaceno,2014,0.802000
15296,Turmequé,2015,0.802000
15296,San Luis De Gaceno,2014,0.802300
15296,San Luis De Gaceno,2016,0.803000
15296,Tibasosa,2014,0.803600
15296,Tibaná,2014,0.804000
15296,Togüí,2013,0.806500
15296,Togüí,2013,0.806500
15296,Guacamayas,2013,0.807700
15296,Tenza,2014,0.807700
15296,Muzo,2012,0.807800
15296,Tenza,2014,0.808000
15296,Pajarito,2017,0.808000
15296,Otanche,2013,0.808100
15296,Otanche,2013,0.808100
15296,Zetaquira,2017,0.809000
15296,Tinjacá,2013,0.809500
15296,Tinjacá,2013,0.809500
15296,Panqueba,2014,0.809500
15296,Panqueba,2014,0.810000
15296,Miraflores,2017,0.811000
15296,San Pablo De Borbur,2017,0.812000
15296,Rondón,2012,0.812500
15296,Rondón,2012,0.813000
15296,Aquitania,2016,0.813000
15296,Ráquira,2017,0.813000
15296,Chivor,2015,0.815000
15296,Tasco,2012,0.816500
15296,Tasco,2012,0.817000
15296,Busbanzá,2012,0.818000
15296,Betéitiva,2014,0.818000
15296,Guacamayas,2014,0.818000
15296,Busbanzá,2012,0.818200
15296,Betéitiva,2014,0.818200
15296,Guacamayas,2014,0.818200
15296,Santa Rosa De Viterbo,2015,0.820000
15296,Sáchica,2014,0.820500
15296,Aquitania,2014,0.821000
15296,Sáchica,2014,0.821000
15296,Aquitania,2014,0.821100
15296,Chivatá,2012,0.822000
15296,Chitaraque,2016,0.822000
15296,Chivatá,2012,0.822200
15296,Sutamarchán,2014,0.822800
15296,Sutamarchán,2014,0.823000
15296,Cerinza,2016,0.824000
15296,Paya,2012,0.825000
15296,Paya,2012,0.825000
15296,San Mateo,2017,0.825000
15296,Floresta,2014,0.826000
15296,Guayatá,2014,0.826000
15296,Floresta,2014,0.826100
15296,Guayatá,2014,0.826100
15296,Socotá,2013,0.826300
15296,Socotá,2013,0.826300
15296,Caldas,2017,0.828000
15296,El Cocuy,2014,0.828900
15296,El Cocuy,2014,0.829000
15296,Turmequé,2014,0.829800
15296,Turmequé,2014,0.830000
15296,Ráquira,2015,0.830000
15296,Saboyá,2015,0.830000
15296,Ciénega,2015,0.831000
15296,Mongua,2013,0.831600
15296,Socha,2015,0.832000
15296,Jenesano,2015,0.833000
15296,Pisba,2016,0.833000
15296,Cuítiva,2013,0.833300
15296,Cuítiva,2013,0.833300
15296,Paipa,2013,0.836300
