geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada
15272,Firavitoba,Cereales,Maíz Tradicional,2020,5.000000
15272,Firavitoba,Cereales,Trigo,2020,3.000000
15276,Floresta,Cereales,Maíz Tradicional,2020,70.000000
15276,Floresta,Cereales,Trigo,2020,18.000000
15293,Gachantivá,Cereales,Maíz Tradicional,2020,27.000000
15293,Gachantivá,Cereales,Maíz Tradicional,2020,7.000000
15296,Gámeza,Cereales,Maíz Tradicional,2020,20.000000
15299,Garagoa,Cereales,Maíz Tradicional,2020,100.000000
15299,Garagoa,Cereales,Maíz Tradicional,2020,9.000000
15317,Guacamayas,Cereales,Maíz Tecnificado,2020,68.000000
15317,Guacamayas,Cereales,Trigo,2020,3.000000
15322,Guateque,Cereales,Maíz Tradicional,2020,1.500000
15322,Guateque,Cereales,Maíz Tradicional,2020,4.000000
15325,Guayatá,Cereales,Maíz Tradicional,2020,55.000000
15332,Güicán,Cereales,Maíz Tradicional,2020,53.500000
15332,Güicán,Cereales,Trigo,2020,34.000000
15332,Güicán,Cereales,Trigo,2020,18.000000
15367,Jenesano,Cereales,Maíz Tradicional,2020,30.000000
15368,Jericó,Cereales,Maíz Tradicional,2020,9.000000
15368,Jericó,Cereales,Maíz Tradicional,2020,9.000000
15368,Jericó,Cereales,Trigo,2020,11.000000
15368,Jericó,Cereales,Trigo,2020,11.000000
15377,Labranzagrande,Cereales,Maíz Tradicional,2020,92.000000
15380,La Capilla,Cereales,Maíz Tradicional,2020,18.000000
15380,La Capilla,Cereales,Maíz Tradicional,2020,7.000000
15401,La Victoria,Cereales,Maíz Tradicional,2020,5.000000
15401,La Victoria,Cereales,Maíz Tradicional,2020,5.000000
15401,La Victoria,Cereales,Sorgo,2020,210.000000
15403,La Uvita,Cereales,Cebada,2020,0.700000
15403,La Uvita,Cereales,Maíz Tradicional,2020,20.000000
15403,La Uvita,Cereales,Maíz Tradicional,2020,3.000000
15403,La Uvita,Cereales,Trigo,2020,5.000000
15403,La Uvita,Cereales,Trigo,2020,3.000000
15407,Villa de Leiva,Cereales,Maíz Tradicional,2020,40.000000
15407,Villa de Leiva,Cereales,Maíz Tradicional,2020,29.000000
15425,Macanal,Cereales,Maíz Tradicional,2020,80.000000
15442,Maripí,Cereales,Maíz Tradicional,2020,39.800000
15442,Maripí,Cereales,Maíz Tradicional,2020,40.000000
15455,Miraflores,Cereales,Maíz Tradicional,2020,21.000000
15455,Miraflores,Cereales,Maíz Tradicional,2020,21.000000
15464,Mongua,Cereales,Maíz Tradicional,2020,20.000000
15466,Monguí,Cereales,Maíz Tradicional,2020,5.000000
15466,Monguí,Cereales,Quinua,2020,0.500000
15466,Monguí,Cereales,Quinua,2020,0.500000
15466,Monguí,Cereales,Trigo,2020,0.500000
15469,Moniquirá,Cereales,Maíz Tradicional,2020,200.000000
15469,Moniquirá,Cereales,Maíz Tradicional,2020,100.000000
15476,Motavita,Cereales,Maíz Tradicional,2020,50.000000
15476,Motavita,Cereales,Trigo,2020,4.000000
15480,Muzo,Cereales,Maíz Tradicional,2020,5.000000
15480,Muzo,Cereales,Maíz Tradicional,2020,20.000000
15491,Nobsa,Cereales,Cebada,2020,5.000000
15491,Nobsa,Cereales,Maíz Tradicional,2020,20.000000
15491,Nobsa,Cereales,Maíz Tradicional,2020,12.000000
15494,Nuevo Colón,Cereales,Maíz Tradicional,2020,53.000000
15500,Oicatá,Cereales,Cebada,2020,67.000000
15500,Oicatá,Cereales,Cebada,2020,16.000000
15500,Oicatá,Cereales,Maíz Tradicional,2020,6.000000
15500,Oicatá,Cereales,Maíz Tradicional,2020,6.000000
15500,Oicatá,Cereales,Trigo,2020,6.000000
