geo,Municipio,Año,Nivel,Tasa
15476,Motavita,2015,Edu_Media,0.000000
15480,Muzo,2015,Edu_Media,0.003800
15491,Nobsa,2015,Edu_Media,0.002800
15494,Nuevo Colón,2015,Edu_Media,0.014200
15500,Oicatá,2015,Edu_Media,0.000000
15507,Otanche,2015,Edu_Media,0.000000
15511,Pachavita,2015,Edu_Media,0.000000
15514,Páez,2015,Edu_Media,0.000000
15516,Paipa,2015,Edu_Media,0.003800
15518,Pajarito,2015,Edu_Media,0.000000
15522,Panqueba,2015,Edu_Media,0.000000
15531,Pauna,2015,Edu_Media,0.000000
15533,Paya,2015,Edu_Media,0.000000
15537,Paz de Río,2015,Edu_Media,0.000000
15542,Pesca,2015,Edu_Media,0.000000
15550,Pisba,2015,Edu_Media,0.000000
15572,Puerto Boyacá,2015,Edu_Media,0.005400
15580,Quípama,2015,Edu_Media,0.016400
15599,Ramiriquí,2015,Edu_Media,0.003100
15600,Ráquira,2015,Edu_Media,0.007800
15621,Rondón,2015,Edu_Media,0.000000
15632,Saboyá,2015,Edu_Media,0.017300
15638,Sáchica,2015,Edu_Media,0.000000
15646,Samacá,2015,Edu_Media,0.012800
15660,San Eduardo,2015,Edu_Media,0.000000
15664,San José de Pare,2015,Edu_Media,0.000000
15667,San Luis de Gaceno,2015,Edu_Media,0.007900
15673,San Mateo,2015,Edu_Media,0.000000
15676,San Miguel de Sema,2015,Edu_Media,0.056600
15681,San Pablo de Borbur,2015,Edu_Media,0.000000
15686,Santana,2015,Edu_Media,0.005000
15690,Santa María,2015,Edu_Media,0.000000
15693,Santa Rosa de Viterbo,2015,Edu_Media,0.000000
15696,Santa Sofía,2015,Edu_Media,0.000000
15720,Sativanorte,2015,Edu_Media,0.000000
15723,Sativasur,2015,Edu_Media,0.000000
15740,Siachoque,2015,Edu_Media,0.000000
15753,Soatá,2015,Edu_Media,0.000000
15755,Socotá,2015,Edu_Media,0.000000
15757,Socha,2015,Edu_Media,0.000000
15759,Sogamoso,2015,Edu_Media,0.020300
15761,Somondoco,2015,Edu_Media,0.000000
15762,Sora,2015,Edu_Media,0.000000
15763,Sotaquirá,2015,Edu_Media,0.000000
15764,Soracá,2015,Edu_Media,0.000000
15774,Susacón,2015,Edu_Media,0.000000
15776,Sutamarchán,2015,Edu_Media,0.000000
15778,Sutatenza,2015,Edu_Media,0.000000
15790,Tasco,2015,Edu_Media,0.006500
15798,Tenza,2015,Edu_Media,0.000000
15804,Tibaná,2015,Edu_Media,0.004600
15806,Tibasosa,2015,Edu_Media,0.003600
15808,Tinjacá,2015,Edu_Media,0.000000
15810,Tipacoque,2015,Edu_Media,0.000000
15814,Toca,2015,Edu_Media,0.016600
