Indicador,geo,Area,Periodo,Valor
Cobertura bruta de educación (media),15455,Miraflores,2017,0.848000
Cobertura bruta de educación (media),15464,Mongua,2017,0.741000
Cobertura bruta de educación (media),15466,Monguí,2017,0.903000
Cobertura bruta de educación (media),15469,Moniquirá,2017,1.040000
Cobertura bruta de educación (media),15476,Motavita,2017,0.570000
Cobertura bruta de educación (media),15480,Muzo,2017,0.785000
Cobertura bruta de educación (media),15491,Nobsa,2017,0.783000
Cobertura bruta de educación (media),15494,Nuevo Colón,2017,0.703000
Cobertura bruta de educación (media),15500,Oicatá,2017,0.596000
Cobertura bruta de educación (media),15507,Otanche,2017,0.628000
Cobertura bruta de educación (media),15511,Pachavita,2017,0.595000
Cobertura bruta de educación (media),15514,Páez,2017,0.807000
Cobertura bruta de educación (media),15516,Paipa,2017,1.079000
Cobertura bruta de educación (media),15518,Pajarito,2017,1.460000
Cobertura bruta de educación (media),15522,Panqueba,2017,2.114000
Cobertura bruta de educación (media),15531,Pauna,2017,0.602000
Cobertura bruta de educación (media),15533,Paya,2017,0.697000
Cobertura bruta de educación (media),15537,Paz De Río,2017,0.884000
Cobertura bruta de educación (media),15542,Pesca,2017,0.596000
Cobertura bruta de educación (media),15550,Pisba,2017,0.700000
Cobertura bruta de educación (media),15572,Puerto Boyacá,2017,0.676000
Cobertura bruta de educación (media),15580,Quípama,2017,0.548000
Cobertura bruta de educación (media),15599,Ramiriquí,2017,0.979000
Cobertura bruta de educación (media),15600,Ráquira,2017,0.183000
Cobertura bruta de educación (media),15621,Rondón,2017,0.804000
Cobertura bruta de educación (media),15632,Saboyá,2017,1.027000
Cobertura bruta de educación (media),15638,Sáchica,2017,0.634000
Cobertura bruta de educación (media),15646,Samacá,2017,0.748000
Cobertura bruta de educación (media),15660,San Eduardo,2017,0.824000
Cobertura bruta de educación (media),15664,San José De Pare,2017,0.765000
Cobertura bruta de educación (media),15667,San Luis De Gaceno,2017,0.885000
Cobertura bruta de educación (media),15673,San Mateo,2017,1.250000
Cobertura bruta de educación (media),15676,San Miguel De Sema,2017,0.644000
Cobertura bruta de educación (media),15681,San Pablo De Borbur,2017,0.592000
Cobertura bruta de educación (media),15693,Santa Rosa De Viterbo,2017,0.670000
Cobertura bruta de educación (media),15696,Santa Sofía,2017,0.956000
Cobertura bruta de educación (media),15690,Santa María,2017,0.880000
Cobertura bruta de educación (media),15686,Santana,2017,0.827000
Cobertura bruta de educación (media),15720,Sativanorte,2017,0.763000
Cobertura bruta de educación (media),15723,Sativasur,2017,1.441000
Cobertura bruta de educación (media),15740,Siachoque,2017,0.881000
Cobertura bruta de educación (media),15753,Soatá,2017,1.833000
Cobertura bruta de educación (media),15757,Socha,2017,1.658000
Cobertura bruta de educación (media),15755,Socotá,2017,0.665000
Cobertura bruta de educación (media),15761,Somondoco,2017,1.352000
Cobertura bruta de educación (media),15762,Sora,2017,0.739000
Cobertura bruta de educación (media),15764,Soracá,2017,1.148000
Cobertura bruta de educación (media),15763,Sotaquirá,2017,0.804000
Cobertura bruta de educación (media),15774,Susacón,2017,0.504000
Cobertura bruta de educación (media),15776,Sutamarchán,2017,0.860000
Cobertura bruta de educación (media),15778,Sutatenza,2017,0.780000
Cobertura bruta de educación (media),15790,Tasco,2017,0.882000
Cobertura bruta de educación (media),15798,Tenza,2017,0.732000
Cobertura bruta de educación (media),15806,Tibasosa,2017,0.656000
Cobertura bruta de educación (media),15804,Tibaná,2017,0.834000
Cobertura bruta de educación (media),15808,Tinjacá,2017,0.598000
Cobertura bruta de educación (media),15810,Tipacoque,2017,1.370000
Cobertura bruta de educación (media),15814,Toca,2017,0.815000
Cobertura bruta de educación (media),15816,Togüí,2017,0.633000
Cobertura bruta de educación (media),15820,Tópaga,2017,0.964000
Cobertura bruta de educación (media),15822,Tota,2017,0.783000
Cobertura bruta de educación (media),15832,Tununguá,2017,0.682000
Cobertura bruta de educación (media),15835,Turmequé,2017,1.242000
Cobertura bruta de educación (media),15837,Tuta,2017,0.955000
Cobertura bruta de educación (media),15837,Tutaza,2017,1.667000
Cobertura bruta de educación (media),15842,Úmbita,2017,0.584000
Cobertura bruta de educación (media),15861,Ventaquemada,2017,0.867000
Cobertura bruta de educación (media),15407,Villa De Leyva,2017,0.826000
Cobertura bruta de educación (media),15879,Viracachá,2017,0.585000
Cobertura bruta de educación (media),15897,Zetaquira,2017,1.156000
Cobertura bruta de educación (media),15022,Almeida,2012,0.913000
Cobertura bruta de educación (media),15047,Aquitania,2012,0.621200
Cobertura bruta de educación (media),15051,Arcabuco,2012,0.740100
Cobertura bruta de educación (media),15087,Belén,2012,1.313800
