geo,Municipio,IRCA,Año
15804,Tibana,30.85,2023
15804,Tibana,28.33,2024
15804,Tibana,21.58,2025
15806,Tibasosa,19.44,2020
15806,Tibasosa,35.5,2021
15806,Tibasosa,47.17,2022
15806,Tibasosa,46.84,2023
15806,Tibasosa,40.76,2024
15806,Tibasosa,31.15,2025
15808,Tinjacá,33.3,2022
15808,Tinjacá,37.78,2023
15808,Tinjacá,56.5,2024
15808,Tinjacá,18.61,2025
15810,Tipacoque,54.7,2022
15810,Tipacoque,75.85,2023
15810,Tipacoque,59.98,2024
15810,Tipacoque,38.06,2025
15814,Toca,38.92,2022
15814,Toca,0,2023
15814,Toca,62.85,2024
15814,Toca,49.88,2025
15816,Togüí,80.85,2022
15816,Togüí,84.27,2023
15816,Togüí,69.98,2024
15816,Togüí,77.04,2025
15820,Tópaga,21.5,2020
15820,Tópaga,24.9,2021
15820,Tópaga,27.2,2022
15820,Tópaga,16.7,2023
15820,Tópaga,50.15,2024
15820,Tópaga,49.57,2025
15822,Tota,76.4,2021
15822,Tota,92.5,2022
15822,Tota,82,2023
15822,Tota,63.66,2024
15822,Tota,65.54,2025
15832,Tununguá,77.65,2022
15832,Tununguá,72.8,2023
15832,Tununguá,69.73,2024
15832,Tununguá,72.91,2025
15835,Turmequé,58.62,2022
15835,Turmequé,61.3,2023
15835,Turmequé,64.28,2024
15835,Turmequé,62.41,2025
15837,Tuta,4.36,2020
15837,Tuta,14,2021
15837,Tuta,22.19,2022
15837,Tuta,14.96,2023
15837,Tuta,7.99,2024
15837,Tuta,6.62,2025
15839,Tutazá,4.1,2020
15839,Tutazá,31.8,2021
15839,Tutazá,2.65,2022
15839,Tutazá,32.87,2023
15839,Tutazá,54.65,2024
15839,Tutazá,29.28,2025
15842,Umbita,68.95,2020
15842,Umbita,63.9,2021
15842,Umbita,59.12,2022
15842,Umbita,59,2023
15842,Umbita,60.66,2024
15842,Umbita,58.02,2025
15861,Ventaquemada,12.63,2020
15861,Ventaquemada,8.7,2021
15861,Ventaquemada,8.74,2022
15861,Ventaquemada,18.74,2023
15861,Ventaquemada,23.46,2024
15861,Ventaquemada,19.97,2025
15879,Viracachá,5.4,2020
15879,Viracachá,4.2,2021
15879,Viracachá,40.22,2022
15879,Viracachá,49.97,2023
15879,Viracachá,68.84,2024
15879,Viracachá,68.53,2025
15897,Zetaquirá,33.33,2022
15897,Zetaquirá,65.93,2023
15897,Zetaquirá,75.79,2024
15897,Zetaquirá,45.69,2025
