geo,Municipio,Porcentaje,Año
15798,Tenza,23.02,2021
15798,Tenza,23.19,2022
15798,Tenza,23.02,2023
15798,Tenza,21.99,2024
15798,Tenza,22.94,2025
15804,Tibana,14.32,2020
15804,Tibana,100,2021
15804,Tibana,100,2022
15804,Tibana,13.72,2023
15804,Tibana,13.72,2024
15804,Tibana,13.61,2025
15806,Tibasosa,100,2020
15806,Tibasosa,100,2021
15806,Tibasosa,100,2022
15806,Tibasosa,100,2023
15806,Tibasosa,100,2024
15806,Tibasosa,100,2025
15808,Tinjacá,33.49,2020
15808,Tinjacá,33.49,2021
15808,Tinjacá,55.19,2022
15808,Tinjacá,33.49,2024
15808,Tinjacá,33.49,2025
15810,Tipacoque,78.24,2020
15810,Tipacoque,78.24,2021
15810,Tipacoque,79.06,2022
15810,Tipacoque,41.67,2023
15810,Tipacoque,41.6,2024
15810,Tipacoque,52.62,2025
15814,Toca,100,2020
15814,Toca,100,2021
15814,Toca,100,2022
15814,Toca,100,2023
15814,Toca,100,2024
15814,Toca,100,2025
15816,Togüí,38.95,2020
15816,Togüí,39.05,2021
15816,Togüí,38.98,2022
15816,Togüí,38.98,2023
15816,Togüí,38.98,2024
15816,Togüí,38.98,2025
15820,Tópaga,93.56,2020
15820,Tópaga,93.55,2021
15820,Tópaga,93.55,2022
15820,Tópaga,100,2023
15820,Tópaga,100,2024
15820,Tópaga,100,2025
15822,Tota,100,2020
15822,Tota,100,2021
15822,Tota,100,2022
15822,Tota,85.58,2023
15822,Tota,100,2024
15822,Tota,0,2025
15832,Tununguá,0,2020
15832,Tununguá,0,2021
15832,Tununguá,0,2022
15832,Tununguá,41.52,2023
15832,Tununguá,44.91,2024
15832,Tununguá,44.91,2025
15835,Turmequé,52.41,2020
15835,Turmequé,52.53,2021
15835,Turmequé,52.92,2022
15835,Turmequé,68.34,2023
15835,Turmequé,73.45,2024
15835,Turmequé,66.14,2025
15837,Tuta,28.69,2020
15837,Tuta,28.69,2021
15837,Tuta,28.69,2022
15837,Tuta,29.44,2023
15837,Tuta,17.74,2024
15837,Tuta,19.97,2025
15839,Tutazá,100,2020
15839,Tutazá,98,2021
15839,Tutazá,95.92,2022
15839,Tutazá,90.03,2023
15839,Tutazá,93.76,2024
15839,Tutazá,93.76,2025
15842,Umbita,95.65,2020
15842,Umbita,95.9,2021
15842,Umbita,78.07,2022
15842,Umbita,78.07,2023
15842,Umbita,78.07,2024
15842,Umbita,78.07,2025
15861,Ventaquemada,7.7,2020
15861,Ventaquemada,19.48,2021
15861,Ventaquemada,19.48,2022
15861,Ventaquemada,100,2023
15861,Ventaquemada,100,2024
15861,Ventaquemada,100,2025
15879,Viracachá,57.3,2020
15879,Viracachá,57.26,2021
15879,Viracachá,57.26,2022
15879,Viracachá,57.26,2023
15879,Viracachá,57.3,2024
15879,Viracachá,57.3,2025
15897,Zetaquirá,44.34,2020
15897,Zetaquirá,74.94,2021
15897,Zetaquirá,19.3,2022
15897,Zetaquirá,19.3,2023
15897,Zetaquirá,19.3,2024
15897,Zetaquirá,19.3,2025
