geo,Municipio,Toneladas,Año
15778,Sutatenza,0.2,2024
15790,Tasco,0.88,2020
15790,Tasco,0.78,2021
15790,Tasco,1.22,2022
15790,Tasco,0.76,2023
15790,Tasco,0.73,2024
15798,Tenza,0.76,2020
15798,Tenza,0.83,2021
15798,Tenza,0.72,2022
15798,Tenza,0.64,2023
15798,Tenza,0.65,2024
15804,Tibana,0.79,2020
15804,Tibana,0.62,2021
15804,Tibana,0.66,2022
15804,Tibana,0.78,2023
15804,Tibana,0.9,2024
15806,Tibasosa,4.46,2020
15806,Tibasosa,5.92,2021
15806,Tibasosa,8.69,2022
15806,Tibasosa,5.29,2023
15806,Tibasosa,4.62,2024
15808,Tinjacá,0.72,2020
15808,Tinjacá,0.73,2021
15808,Tinjacá,0.77,2022
15808,Tinjacá,0.75,2023
15808,Tinjacá,0.73,2024
15810,Tipacoque,0.28,2020
15810,Tipacoque,0.32,2021
15810,Tipacoque,0.44,2022
15810,Tipacoque,0.27,2023
15810,Tipacoque,0.3,2024
15814,Toca,2.33,2020
15814,Toca,2.29,2021
15814,Toca,2.23,2022
15814,Toca,2.26,2023
15814,Toca,2.32,2024
15816,Togüí,0.19,2020
15816,Togüí,0.2,2021
15816,Togüí,0.22,2022
15816,Togüí,0.23,2023
15816,Togüí,0.22,2024
15820,Tópaga,0.35,2020
15820,Tópaga,0.35,2021
15820,Tópaga,0.58,2022
15820,Tópaga,0.42,2023
15820,Tópaga,0.44,2024
15822,Tota,2.21,2020
15822,Tota,0.37,2021
15822,Tota,0.6,2022
15822,Tota,0.39,2023
15822,Tota,0.38,2024
15832,Tununguá,0.05,2020
15832,Tununguá,0.13,2021
15832,Tununguá,0.14,2022
15832,Tununguá,0.83,2023
15832,Tununguá,0.18,2024
15835,Turmequé,0.65,2020
15835,Turmequé,0.64,2021
15835,Turmequé,0.75,2022
15835,Turmequé,0.67,2023
15835,Turmequé,0.67,2024
15837,Tuta,1.77,2020
15837,Tuta,2.16,2021
15837,Tuta,2.01,2022
15837,Tuta,1.78,2023
15837,Tuta,1.99,2024
15839,Tutazá,0.05,2020
15839,Tutazá,0.07,2021
15839,Tutazá,0.12,2022
15839,Tutazá,0.08,2023
15839,Tutazá,0.08,2024
15842,Umbita,0.68,2020
15842,Umbita,0.43,2021
15842,Umbita,0.49,2022
15842,Umbita,0.38,2023
15842,Umbita,0.34,2024
15861,Ventaquemada,2.21,2020
15861,Ventaquemada,2.66,2021
15861,Ventaquemada,2.76,2022
15861,Ventaquemada,2.91,2023
15861,Ventaquemada,2.95,2024
15879,Viracachá,0.1,2020
15879,Viracachá,0.13,2021
15879,Viracachá,0.12,2022
15879,Viracachá,0.13,2023
15879,Viracachá,0.17,2024
15897,Zetaquirá,0.45,2020
15897,Zetaquirá,0.52,2021
15897,Zetaquirá,0.62,2022
15897,Zetaquirá,0.68,2023
15897,Zetaquirá,0.92,2024
