Año,geo,Zona,Grado,Número
2018,15135,Rural,Noveno,16
2018,15135,Rural,Octavo,14
2018,15135,Rural,Once,15
2018,15135,Rural,Primero,31
2018,15135,Rural,Quinto,33
2018,15135,Rural,Segundo,38
2018,15135,Rural,Septimo,30
2018,15135,Rural,Sexto,21
2018,15135,Rural,Tercero,35
2018,15135,Rural,Transición,35
2018,15135,Urbana,Ciclo 3 Adultos,9
2018,15135,Urbana,Ciclo 4 Adultos,4
2018,15135,Urbana,Ciclo 6 Adultos,8
2018,15135,Urbana,Cuarto,16
2018,15135,Urbana,Decimo,15
2018,15135,Urbana,Noveno,9
2018,15135,Urbana,Octavo,17
2018,15135,Urbana,Once,21
2018,15135,Urbana,Primero,9
2018,15135,Urbana,Quinto,10
2018,15135,Urbana,Segundo,3
2018,15135,Urbana,Septimo,24
2018,15135,Urbana,Sexto,29
2018,15135,Urbana,Tercero,6
2018,15135,Urbana,Transición,10
2018,15162,Rural,Cuarto,16
2018,15162,Rural,Primero,20
2018,15162,Rural,Quinto,17
2018,15162,Rural,Segundo,18
2018,15162,Rural,Tercero,22
2018,15162,Rural,Transición,14
2018,15162,Urbana,Cuarto,29
2018,15162,Urbana,Decimo,47
2018,15162,Urbana,Jardín I,6
2018,15162,Urbana,Noveno,45
2018,15162,Urbana,Octavo,57
2018,15162,Urbana,Once,46
2018,15162,Urbana,Prejardín,2
2018,15162,Urbana,Primero,28
2018,15162,Urbana,Quinto,25
2018,15162,Urbana,Segundo,30
2018,15162,Urbana,Septimo,51
2018,15162,Urbana,Sexto,78
2018,15162,Urbana,Tercero,24
2018,15162,Urbana,Transición,24
2018,15172,Rural,Cuarto,18
2018,15172,Rural,Decimo,12
2018,15172,Rural,Noveno,7
2018,15172,Rural,Octavo,9
2018,15172,Rural,Once,5
2018,15172,Rural,Primero,23
2018,15172,Rural,Quinto,27
2018,15172,Rural,Segundo,22
2018,15172,Rural,Septimo,11
2018,15172,Rural,Sexto,10
2018,15172,Rural,Tercero,22
2018,15172,Rural,Transición,17
2018,15172,Urbana,Cuarto,27
2018,15172,Urbana,Decimo,33
2018,15172,Urbana,Noveno,42
2018,15172,Urbana,Octavo,35
2018,15172,Urbana,Once,35
2018,15172,Urbana,Primero,21
2018,15172,Urbana,Quinto,23
2018,15172,Urbana,Segundo,19
2018,15172,Urbana,Septimo,42
2018,15172,Urbana,Sexto,38
2018,15172,Urbana,Tercero,23
2018,15172,Urbana,Transición,17
2018,15176,Rural,Ciclo 3 Adultos,17
2018,15176,Rural,Ciclo 4 Adultos,26
2018,15176,Rural,Ciclo 5 Adultos,9
2018,15176,Rural,Ciclo 6 Adultos,36
2018,15176,Rural,Cuarto,81
2018,15176,Rural,Decimo,34
2018,15176,Rural,Noveno,25
2018,15176,Rural,Octavo,33
2018,15176,Rural,Once,19
2018,15176,Rural,Primero,54
2018,15176,Rural,Quinto,58
2018,15176,Rural,Segundo,69
2018,15176,Rural,Septimo,33
2018,15176,Rural,Sexto,61
2018,15176,Rural,Tercero,67
2018,15176,Rural,Transición,51
2018,15176,Urbana,12º Normal,53
2018,15176,Urbana,13º Normal,26
2018,15176,Urbana,Ciclo 1 Adultos,100
2018,15176,Urbana,Ciclo 2 Adultos,2
2018,15176,Urbana,Ciclo 3 Adultos,130
2018,15176,Urbana,Ciclo 4 Adultos,105
2018,15176,Urbana,Ciclo 5 Adultos,94
2018,15176,Urbana,Ciclo 6 Adultos,220
2018,15176,Urbana,Cuarto,983
2018,15176,Urbana,Decimo,930
2018,15176,Urbana,Jardín I,133
