geo,Municipio,Desagregación cultivo,Año,Producción(tn)
15778,Sutatenza,Pepino Guiso,2019,15.000000
15778,Sutatenza,Pimentón,2019,30.000000
15778,Sutatenza,Pimentón,2019,19.000000
15778,Sutatenza,Tomate Invernadero,2019,240.000000
15778,Sutatenza,Tomate Invernadero,2019,240.000000
15798,Tenza,Ahuyama,2019,38.000000
15798,Tenza,Ahuyama,2019,29.000000
15798,Tenza,Pepino Cohombro,2019,78.000000
15798,Tenza,Pepino Cohombro,2019,71.100000
15798,Tenza,Pepino Guiso,2019,374.700000
15798,Tenza,Pepino Guiso,2019,300.000000
15798,Tenza,Pimentón,2019,215.000000
15798,Tenza,Pimentón,2019,17.300000
15798,Tenza,Tomate,2019,225.000000
15798,Tenza,Tomate,2019,423.000000
15798,Tenza,Tomate Invernadero,2019,1822.000000
15798,Tenza,Tomate Invernadero,2019,1700.000000
15804,Tibaná,Pepino Guiso,2019,396.000000
15804,Tibaná,Pepino Guiso,2019,125.000000
15806,Tibasosa,Tomate Invernadero,2019,1666.000000
15806,Tibasosa,Tomate Invernadero,2019,1904.000000
15806,Tibasosa,Cebolla De Bulbo,2019,3605.000000
15806,Tibasosa,Cebolla De Bulbo,2019,6300.000000
15808,Tinjacá,Ahuyama,2019,3.000000
15808,Tinjacá,Pimentón,2019,45.600000
15808,Tinjacá,Pimentón,2019,30.000000
15808,Tinjacá,Tomate Invernadero,2019,1920.000000
15808,Tinjacá,Tomate Invernadero,2019,1566.000000
15808,Tinjacá,Cebolla De Bulbo,2019,320.000000
15808,Tinjacá,Cebolla De Bulbo,2019,76.000000
15810,Tipacoque,Pimentón,2019,140.000000
15810,Tipacoque,Pimentón,2019,100.000000
15810,Tipacoque,Tomate,2019,18.000000
15810,Tipacoque,Tomate,2019,21.000000
15810,Tipacoque,Tomate Invernadero,2019,264.000000
15810,Tipacoque,Tomate Invernadero,2019,7.000000
15814,Toca,Cebolla De Bulbo,2019,16250.000000
15814,Toca,Cebolla De Bulbo,2019,12000.000000
15816,Togüí,Tomate,2019,11.200000
15816,Togüí,Tomate,2019,11.200000
15820,Tópaga,Tomate Invernadero,2019,480.000000
15820,Tópaga,Tomate Invernadero,2019,720.000000
15820,Tópaga,Cebolla De Bulbo,2019,300.000000
15820,Tópaga,Cebolla De Bulbo,2019,120.000000
15822,Tota,Cebolla De Bulbo,2019,157.500000
15822,Tota,Zanahoria,2019,262.500000
15822,Tota,Zanahoria,2019,332.500000
15822,Tota,Cebolla De Rama,2019,600.000000
15822,Tota,Cebolla De Rama,2019,3600.000000
15835,Turmequé,Tomate Invernadero,2019,600.000000
15835,Turmequé,Tomate Invernadero,2019,720.000000
15835,Turmequé,Cebolla De Bulbo,2019,259.000000
15835,Turmequé,Cebolla De Bulbo,2019,175.000000
15835,Turmequé,Zanahoria,2019,135.000000
15835,Turmequé,Zanahoria,2019,120.000000
15837,Tuta,Cebolla De Bulbo,2019,2500.000000
15837,Tuta,Cebolla De Bulbo,2019,1200.000000
15839,Tutazá,Otras hortalizas,2019,60.000000
15839,Tutazá,Otras hortalizas,2019,80.000000
15839,Tutazá,Zanahoria,2019,220.000000
15839,Tutazá,Zanahoria,2019,120.000000
15842,Úmbita,Otras hortalizas,2019,2.000000
15842,Úmbita,Zanahoria,2019,13.000000
15861,Ventaquemada,Otras hortalizas,2019,75.000000
15861,Ventaquemada,Otras hortalizas,2019,50.000000
15861,Ventaquemada,Cebolla De Bulbo,2019,400.000000
15861,Ventaquemada,Cebolla De Bulbo,2019,600.000000
15861,Ventaquemada,Zanahoria,2019,20000.000000
15861,Ventaquemada,Zanahoria,2019,15000.000000
15879,Viracachá,Ahuyama,2019,7.200000
15879,Viracachá,Cilantro,2019,8.200000
15879,Viracachá,Cilantro,2019,8.160000
15879,Viracachá,Zanahoria,2019,106.600000
15879,Viracachá,Zanahoria,2019,16.320000
15897,Zetaquirá,Tomate Invernadero,2019,112.000000
15897,Zetaquirá,Tomate Invernadero,2019,112.000000
15001,Tunja,Cebolla De Bulbo,2020,3500.000000
