geo,Municipio,Cultivo,Año,Área Sembrada (ha)
15322,GUATEQUE,Cafe,2015,56
15761,SOMONDOCO,Cafe,2015,56
15518,PAJARITO,Cafe,2015,31
15533,PAYA,Cafe,2015,30
15667,SAN LUIS DE GACENO,Cafe,2015,12
15690,SANTA MARIA,Cafe,2015,4
15469,MONIQUIRÁ,Cafe,2016,1
15897,ZETAQUIRA,Cafe,2016,1
15455,MIRAFLORES,Cafe,2016,932
15664,SAN JOSE DE PARE,Cafe,2016,728
15816,TOGUI,Cafe,2016,626
15686,SANTANA,Cafe,2016,542
15109,BUENAVISTA,Cafe,2016,481
15090,BERBEO,Cafe,2016,479
15185,CHITARAQUE,Cafe,2016,468
15531,PAUNA,Cafe,2016,398
15325,GUAYATÁ,Cafe,2016,361
15514,PÁEZ,Cafe,2016,330
15681,SAN PABLO DE BORBUR,Cafe,2016,320
15442,MARIPÍ,Cafe,2016,306
15106,BRICEÑO,Cafe,2016,282
15212,COPER,Cafe,2016,278
15660,SAN EDUARDO,Cafe,2016,232
15507,OTANCHE,Cafe,2016,221
15135,CAMPOHERMOSO,Cafe,2016,195
15550,PISBA,Cafe,2016,152
15580,QUIPAMA,Cafe,2016,140
15299,GARAGOA,Cafe,2016,140
15832,TUNUNGUA,Cafe,2016,137
15511,PACHAVITA,Cafe,2016,123
15401,LA VICTORIA,Cafe,2016,121
15621,RONDON,Cafe,2016,120
15425,MACANAL,Cafe,2016,91
15377,LABRANZAGRANDE,Cafe,2016,83
15480,MUZO,Cafe,2016,81
15022,ALMEIDA,Cafe,2016,71
15172,CHINAVITA,Cafe,2016,64
15322,GUATEQUE,Cafe,2016,58
15761,SOMONDOCO,Cafe,2016,56
15533,PAYA,Cafe,2016,35
15518,PAJARITO,Cafe,2016,32
15667,SAN LUIS DE GACENO,Cafe,2016,12
15690,SANTA MARIA,Cafe,2016,4
15469,MONIQUIRÁ,Cafe,2017,1
15897,ZETAQUIRA,Cafe,2017,1
15455,MIRAFLORES,Cafe,2017,839
15664,SAN JOSE DE PARE,Cafe,2017,737
15816,TOGUI,Cafe,2017,597
