Unidad,Subgrupo,geo,Area,Periodo,Valor
Razón x 100¬000 nacidos vivos,Urbano,15172,Chinavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15176,Chiquinquirá,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15176,Chiquinquirá,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15176,Chiquinquirá,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15176,Chiquinquirá,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15176,Chiquinquirá,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15232,Chíquiza,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15232,Chíquiza,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15232,Chíquiza,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15232,Chíquiza,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15232,Chíquiza,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15180,Chiscas,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15180,Chiscas,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15180,Chiscas,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15180,Chiscas,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15180,Chiscas,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15183,Chita,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15183,Chita,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15183,Chita,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15183,Chita,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15183,Chita,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15185,Chitaraque,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15185,Chitaraque,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15185,Chitaraque,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15185,Chitaraque,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15185,Chitaraque,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15187,Chivatá,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15187,Chivatá,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15187,Chivatá,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15187,Chivatá,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15187,Chivatá,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15236,Chivor,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15236,Chivor,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15236,Chivor,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15236,Chivor,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15236,Chivor,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15189,Ciénega,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15189,Ciénega,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15189,Ciénega,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15189,Ciénega,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15189,Ciénega,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15204,Cómbita,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15204,Cómbita,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15204,Cómbita,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15204,Cómbita,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15204,Cómbita,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15212,Coper,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15212,Coper,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15212,Coper,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15212,Coper,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15212,Coper,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15215,Corrales,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15215,Corrales,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15215,Corrales,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15215,Corrales,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15215,Corrales,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15218,Covarachía,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15218,Covarachía,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15218,Covarachía,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15218,Covarachía,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15218,Covarachía,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15223,Cubará,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15223,Cubará,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15223,Cubará,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15223,Cubará,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15223,Cubará,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15224,Cucaita,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15224,Cucaita,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15224,Cucaita,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15224,Cucaita,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15224,Cucaita,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15226,Cuítiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15226,Cuítiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15226,Cuítiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15226,Cuítiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15226,Cuítiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15238,Duitama,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15238,Duitama,2014,0.000000
